casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2023-00103516,0 Block SALISBURY ST,2023-12-20T02:47:51.000,12,2023,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,2,CGordillo Perez,2023-00103516-001,41.805656217000035,-71.41057597449995,E911,None,None
2023-00103516,0 Block SALISBURY ST,2023-12-20T02:47:51.000,12,2023,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,CGordillo Perez,2023-00103516-002,41.805656217000035,-71.41057597449995,E911,None,None
2023-00103514,0 Block PEKIN ST,2023-12-20T02:12:31.000,12,2023,Suspicious Person,Not Used,No Violations,0,RAnderson,2023-00103514-001,41.83706538450005,-71.42467463999995,E911,None,None
2023-00103495,400 Block CHARLES ST,2023-12-20T00:09:46.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,ILiriano,2023-00103495-001,41.84612804400004,-71.41909304199996,E911,None,None
2023-00103484,700 Block DOUGLAS AVE,2023-12-19T23:25:54.000,12,2023,Request for Assistance,Not Used,No Violations,0,BJohnson,2023-00103484-001,41.84959816150004,-71.43336782899996,E911,None,None
2023-00103476,0 Block EATON ST,2023-12-19T22:39:45.000,12,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,TCargill,2023-00103476-001,41.84095109000006,-71.42950998899997,E911,None,Motor Vehicle Theft
2023-00103453,0 Block HOMER ST,2023-12-19T20:16:00.000,12,2023,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,WSherrill,2023-00103453-001,41.78826694650007,-71.40611552699997,E911,Aggravated Assault,None
2023-00103439,N MAIN ST &  4TH ST,2023-12-19T19:08:49.000,12,2023,Disturbance,Not Used,No Violations,0,MGammino,2023-00103439-001,41.85178755567936,-71.40195465993594,RIDOT,None,None
2023-00103436,300 Block S MAIN ST,2023-12-19T18:27:00.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,LPelaez,2023-00103436-001,41.821523823000064,-71.40410568849995,E911,None,Larceny-theft
2023-00103431,0 Block FREMONT ST,2023-12-19T18:26:00.000,12,2023,Property Damage,Not Used,No violations,0,LPelaez,2023-00103431-001,41.82232371400005,-71.39172458249996,E911,None,None
