casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2023-00105419,0 Block CURTIS ST,2023-12-28T11:59:10.000,12,2023,Trespass,Not Used,No Violations,0,JLugo,2023-00105419-001,41.82137690350007,-71.44972728399998,E911,None,None
2023-00104843,300 Block ATWELLS AVE,2023-12-25T13:47:00.000,12,2023,RI Statute Violation,11-41-24,HABITUAL OFFENDER-SHOPLIFTING,1,MCamardo,2023-00104843-001,41.82390767100006,-71.42911807299996,E911,None,None
2023-00104843,300 Block ATWELLS AVE,2023-12-25T13:47:00.000,12,2023,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,MCamardo,2023-00104843-002,41.82390767100006,-71.42911807299996,E911,None,Larceny-theft
2023-00103516,0 Block SALISBURY ST,2023-12-20T02:47:51.000,12,2023,Weapons,11-47.1-3,Large capacity feeding devices prohibited,1,CGordillo Perez,2023-00103516-003,41.805656217000035,-71.41057597449995,E911,None,None
2023-00103284,100 Block WILLIAMS ST,2023-12-19T08:14:00.000,12,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,AHampton,2023-00103284-002,41.82235937750005,-71.39854362849997,E911,None,Larceny-theft
2023-00103061,0 Block MANTON AVE,2023-12-18T10:13:00.000,12,2023,"Assault, Aggravated",11-5-2.1,FELONY ASSAULT/USE DEVICE SIMILAR TO FIREARM,1,JManown,2023-00103061-002,41.82352864300003,-71.45321608199998,E911,Aggravated Assault,None
2023-00101673,CHARLES ST &  CORLISS ST,2023-12-13T15:03:13.000,12,2023,Traffic Violation,31-26-2,Duty to Stop in Accidents Resulting in Damage to Attended Vehicles,1,FLopez,2023-00101673-001,41.838066090121806,-71.41451263881409,RIDOT,None,None
2023-00101345,0 Block LOWELL AVE,2023-12-12T10:20:49.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,JAbatiello,2023-00101345-001,41.81085733100005,-71.45636041749995,E911,None,None
2023-00099710,ELMWOOD AVE &  ARCH ST,2023-12-06T11:30:00.000,12,2023,Weapons,11-47.1-3,Large capacity feeding devices prohibited,1,ASantos,2023-00099710-002,41.812072753181276,-71.42256928505064,RIDOT,None,None
2023-00099710,ELMWOOD AVE &  ARCH ST,2023-12-06T11:30:00.000,12,2023,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,3,ASantos,2023-00099710-003,41.812072753181276,-71.42256928505064,RIDOT,None,None
2023-00098350,VEAZIE ST &  BRANCH AVE,2023-12-01T15:02:42.000,12,2023,Traffic Violation,31-26-2,Duty to Stop in Accidents Resulting in Damage to Attended Vehicles,1,FLopez,2023-00098350-001,41.85472105945216,-71.43467713819064,RIDOT,None,None
2023-00093660,200 Block ATWELLS AVE,2023-11-14T00:02:00.000,11,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,BAucoin,2023-00093660-002,41.823571216500056,-71.42623064599994,E911,None,None
2023-00091176,1300 Block SMITH ST,2023-11-05T03:36:41.000,11,2023,Traffic Violation,31-9-3,Injuring or Tampering with Vehicles,1,SRomano,2023-00091176-003,41.84768483500005,-71.45489548749998,E911,None,None
2023-00091176,1300 Block SMITH ST,2023-11-05T03:36:41.000,11,2023,Larceny from Motor Vehicle,11-41-6,ATTEMPTED LARCENY/O $1500 - FROM MV,1,SRomano,2023-00091176-004,41.84768483500005,-71.45489548749998,E911,None,Larceny-theft
2023-00091176,1300 Block SMITH ST,2023-11-05T03:36:41.000,11,2023,Bad Checks,11-1-6,CONSPIRACY - BAD CHECK,1,SRomano,2023-00091176-005,41.84768483500005,-71.45489548749998,E911,None,None
2023-00091169,100 Block DANIEL AVE,2023-11-05T02:28:41.000,11,2023,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,DSanchez,2023-00091169-003,41.80988021400006,-71.45646842199997,E911,Aggravated Assault,None
2023-00091169,100 Block DANIEL AVE,2023-11-05T02:28:41.000,11,2023,"Assault, Aggravated",11-5-2.1,FELONY ASSAULT/USE DEVICE SIMILAR TO FIREARM,1,DSanchez,2023-00091169-004,41.80988021400006,-71.45646842199997,E911,Aggravated Assault,None
2023-00090611,0 Block FRICKER ST,2023-11-03T13:58:00.000,11,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,CBrown,2023-00090611-002,41.81597946700006,-71.42155518649997,E911,None,None
2023-00090562,200 Block ADMIRAL ST,2023-11-03T10:13:00.000,11,2023,"Assault, Aggravated",11-5-2.1,FELONY ASSAULT/USE DEVICE SIMILAR TO FIREARM,1,JLanier,2023-00090562-006,41.84452995150005,-71.42452737449997,E911,Aggravated Assault,None
2023-00089896,100 Block INDIANA AVE,2023-11-01T00:07:11.000,11,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,MNunez,2023-00089896-002,41.79052874400003,-71.39615956949996,E911,None,None
2023-00089896,100 Block INDIANA AVE,2023-11-01T00:07:11.000,11,2023,Burglary,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,1,MNunez,2023-00089896-003,41.79052874400003,-71.39615956949996,E911,None,Burglary
2023-00088107,900 Block BROAD ST,2023-10-26T12:19:12.000,10,2023,"Larceny,Shoplifting",Not Used,"Under Investigation, Offense Pending",0,TCargill,2023-00088107-002,41.79863663450004,-71.41518439949996,E911,None,Larceny-theft
2023-00086434,0 Block PROVIDENCE PL,2023-10-20T18:08:08.000,10,2023,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,GGenao,2023-00086434-002,41.827849931500054,-71.41595903999996,E911,None,None
2023-00086434,0 Block PROVIDENCE PL,2023-10-20T18:08:08.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,GGenao,2023-00086434-003,41.827849931500054,-71.41595903999996,E911,None,Larceny-theft
2023-00086434,0 Block PROVIDENCE PL,2023-10-20T18:08:08.000,10,2023,Traffic Violation,31-9-3,Injuring or Tampering with Vehicles,1,GGenao,2023-00086434-004,41.827849931500054,-71.41595903999996,E911,None,None
2023-00086434,0 Block PROVIDENCE PL,2023-10-20T18:08:08.000,10,2023,Bad Checks,11-1-6,CONSPIRACY - BAD CHECK,1,GGenao,2023-00086434-005,41.827849931500054,-71.41595903999996,E911,None,None
2023-00086407,0 Block PROVIDENCE PL,2023-10-20T16:35:01.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,GGenao,2023-00086407-002,41.827849931500054,-71.41595903999996,E911,None,Larceny-theft
2023-00086407,0 Block PROVIDENCE PL,2023-10-20T16:35:01.000,10,2023,Bad Checks,11-1-6,CONSPIRACY - BAD CHECK,1,GGenao,2023-00086407-003,41.827849931500054,-71.41595903999996,E911,None,None
2023-00086407,0 Block PROVIDENCE PL,2023-10-20T16:35:01.000,10,2023,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,GGenao,2023-00086407-004,41.827849931500054,-71.41595903999996,E911,None,None
2023-00086407,0 Block PROVIDENCE PL,2023-10-20T16:35:01.000,10,2023,Traffic Violation,31-9-3,Injuring or Tampering with Vehicles,1,GGenao,2023-00086407-005,41.827849931500054,-71.41595903999996,E911,None,None
2023-00085096,1200 Block ELMWOOD AVE,2023-10-16T11:10:00.000,10,2023,Request for Assistance,Not Used,No Violations,0,Central Station,2023-00085096-002,41.77773416700006,-71.42070874399997,E911,None,None
2023-00080363,100 Block PORTER ST,2023-10-01T09:21:05.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,MChasse,2023-00080363-002,41.79360282550007,-71.40604710749994,E911,None,None
2023-00079904,0 Block BELMONT AVE,2023-09-29T21:43:12.000,9,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY-3RD OFFENSE,1,SSage,2023-00079904-003,41.83229243450006,-71.44666088649996,E911,None,None
2023-00079772,800 Block CHARLES ST,2023-09-29T13:07:27.000,9,2023,"Larceny, Other",11-41-16.1,SALE OR CONCEALMENT OF LEASED PERSONAL PROPERTY,1,JCortorreal,2023-00079772-002,41.85928445050007,-71.42158887949995,E911,None,Larceny-theft
2023-00079482,900 Block BROAD ST,2023-09-28T13:03:41.000,9,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,THoulihan,2023-00079482-002,41.79863663450004,-71.41518439949996,E911,None,None
2023-00076315,0 Block KENWOOD ST,2023-09-18T04:45:18.000,9,2023,Robbery - Strong Arm,Not Used,"Under Investigation, Offense Pending",0,ASubramaniam,2023-00076315-002,41.809144426000046,-71.43483742899994,E911,,
2023-00074643,0 Block JULIAN ST,2023-09-12T18:03:00.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MPetteruto,2023-00074643-002,41.82102912450006,-71.44558286049997,E911,None,None
2023-00070708,0 Block BROAD ST,2023-09-01T10:51:00.000,9,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,JO,2023-00070708-002,41.81913232450006,-71.41497734549995,E911,None,None
