casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2024-00001955,FINANCE WAY  &  MEMORIAL BLVD,2024-01-08T17:09:00.000,1,2024,Request for Assistance,Not Used,No Violations,0,DAnderson,2024-00001955-001,None,None
2024-00500049,S CRIMEA,2024-01-08T15:06:59.000,1,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2024-00500049-001,None,Larceny-theft
2024-00001924,F C GREENE MEMORIAL BLVD,2024-01-08T14:57:00.000,1,2024,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,Central Station,2024-00001924-001,None,Larceny-theft
2024-00001868,BROAD ST,2024-01-08T09:31:00.000,1,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station,2024-00001868-001,None,Larceny-theft
2024-00001837,600 Block PLEASANT VALLEY PKY,2024-01-08T07:23:00.000,1,2024,Property Damage,Not Used,No violations,0,KBass,2024-00001837-001,None,None
2024-00001499,0 Block THOMAS SPANN WAY,2024-01-06T17:06:06.000,1,2024,Request for Assistance,Not Used,No Violations,0,IQuinn,2024-00001499-001,None,None
2024-00000660,BONANZA WAY,2024-01-03T14:20:05.000,1,2024,Suspicious Person,Not Used,No Violations,0,TJones,2024-00000660-001,None,None
2024-00500016,W FOUNTAIN ST,2024-01-02T19:15:31.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2024-00500016-001,None,None
2024-00000443,TOCKWOTTON ST,2024-01-02T17:53:00.000,1,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,2024-00000443-001,None,Larceny-theft
2024-00000422,MEMORIAL BLVD &  FRANCIS ST,2024-01-02T16:48:00.000,1,2024,Assistance Rendered,Not Used,No Violations,0,ACalle,2024-00000422-001,None,None
2024-00500013,1000 Block LONSDALE AVE,2024-01-02T14:56:36.000,1,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2024-00500013-001,None,Larceny-theft
2024-00000210,JOSLIN ST  &  MANTON AVE,2024-01-01T18:56:00.000,1,2024,Auto Towed,Not Used,Parking or MV Violation,0,NEastman,2024-00000210-001,None,None
2024-00500006,ATWELL AVE,2024-01-01T14:12:15.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2024-00500006-001,None,None
