casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2024-00005620,S WATER ST,2024-01-22T23:34:00.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2024-00005620-001,None,None
2024-00005515,ORMS ST,2024-01-22T15:21:00.000,1,2024,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,Central Station,2024-00005515-001,None,Larceny-theft
2024-00005384,EXCHANGE TER &  FRANCIS ST,2024-01-22T02:07:58.000,1,2024,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,HViruet,2024-00005384-001,None,None
2024-00005152,MEMORIAL BLVD  &  FRANCIS ST,2024-01-21T00:47:02.000,1,2024,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,CSalinas,2024-00005152-001,None,None
2024-00005152,MEMORIAL BLVD  &  FRANCIS ST,2024-01-21T00:47:02.000,1,2024,Traffic Violation,31-11-18,"Driving after Denial, Suspension or Revocation of License",1,CSalinas,2024-00005152-002,None,None
2024-00500108,BODELL AVE,2024-01-20T14:02:51.000,1,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,MTroia,2024-00500108-001,None,Larceny-theft
2024-00004881,FRANCIS ST  &  MEMORIAL BLVD,2024-01-20T00:12:57.000,1,2024,Motor Vehicle Violation,Not Used,No Violations,0,CFernandez,2024-00004881-001,None,None
2024-00004250,CHARLES ST,2024-01-17T14:35:00.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station,2024-00004250-001,None,None
2024-00500094,0 Block KELLEY,2024-01-17T13:22:53.000,1,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2024-00500094-001,None,Larceny-theft
2024-00500093,EATON ST,2024-01-17T12:11:47.000,1,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2024-00500093-001,None,Larceny-theft
2024-00500092,0 Block KELLEY,2024-01-17T11:24:49.000,1,2024,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2024-00500092-001,None,Larceny-theft
2024-00003944,RESERVOIR AVE,2024-01-16T08:47:09.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,ADeschamps,2024-00003944-001,None,Motor Vehicle Theft
2024-00500084,BOLYSTON AVE,2024-01-14T15:56:02.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2024-00500084-001,None,None
2024-00003469,MANTON AVE  &  CORTEZ ST ST,2024-01-14T02:31:06.000,1,2024,Traffic Violation,31-27-4.1,Eluding a Law Enforcement Officer with a MV in a High Speed Pursuit,1,DCarias,2024-00003469-001,None,None
2024-00003469,MANTON AVE  &  CORTEZ ST ST,2024-01-14T02:31:06.000,1,2024,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,DCarias,2024-00003469-002,None,None
2024-00003331,BROAD ST,2024-01-13T17:42:00.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,Central Station,2024-00003331-001,None,Motor Vehicle Theft
2024-00003127,0 Block SAN SOUCI DR,2024-01-13T01:21:50.000,1,2024,Burglary,11-8-5,B&E OTHER BUILDING W/CRIM INTENT,1,DMonteiro,2024-00003127-001,None,Burglary
2024-00500069,PEKIN AT ALAMA ST,2024-01-11T23:26:57.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2024-00500069-001,None,None
