casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2023-00092248,100 Block DORRANCE ST,2023-11-09T04:43:55.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,THoulihan,2023-00092248-001,41.822061899500056,-71.40954942999997,E911,,Larceny-theft
2023-00092172,500 Block ELMWOOD AVE,2023-11-08T20:44:00.000,11,2023,Trespass,Not Used,No Violations,0,JPirolli,2023-00092172-001,41.79708425200005,-71.42584179899995,E911,,
2023-00092168,0 Block ALMY ST,2023-11-08T20:25:00.000,11,2023,Disturbance,Not Used,No Violations,0,NAyala,2023-00092168-001,41.81816490600005,-71.43264582749998,E911,,
2023-00092180,100 Block GESLER ST,2023-11-08T20:16:00.000,11,2023,Fraud,Not Used,"Under Investigation, Offense Pending",0,EAlarcon,2023-00092180-001,41.82210648250003,-71.43413991149998,E911,,
2023-00092154,0 Block PROVIDENCE PL,2023-11-08T19:39:00.000,11,2023,Stolen Property,Not Used,No violations,0,Central Station,2023-00092154-001,41.82784993150005,-71.41595903999996,E911,,
2023-00092144,100 Block BROAD ST,2023-11-08T18:28:00.000,11,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,NColicci,2023-00092144-001,41.81743972350006,-71.41676518499997,E911,,
2023-00092144,100 Block BROAD ST,2023-11-08T18:28:00.000,11,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,NColicci,2023-00092144-002,41.81743972350006,-71.41676518499997,E911,,
2023-00092144,100 Block BROAD ST,2023-11-08T18:28:00.000,11,2023,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,NColicci,2023-00092144-003,41.81743972350006,-71.41676518499997,E911,,
2023-00092144,100 Block BROAD ST,2023-11-08T18:28:00.000,11,2023,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,NColicci,2023-00092144-004,41.81743972350006,-71.41676518499997,E911,,
2023-00092144,100 Block BROAD ST,2023-11-08T18:28:00.000,11,2023,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,2,NColicci,2023-00092144-005,41.81743972350006,-71.41676518499997,E911,,
2023-00092144,100 Block BROAD ST,2023-11-08T18:28:00.000,11,2023,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,NColicci,2023-00092144-006,41.81743972350006,-71.41676518499997,E911,,
2023-00092144,100 Block BROAD ST,2023-11-08T18:28:00.000,11,2023,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,NColicci,2023-00092144-007,41.81743972350006,-71.41676518499997,E911,,
2023-00092113,700 Block BRANCH AVE,2023-11-08T15:57:00.000,11,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,RFernandes,2023-00092113-001,41.85349825950007,-71.43025511249996,E911,,Larceny-theft
2023-00502525,100 Block DODGE ST ST,2023-11-08T15:16:20.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502525-001,41.81396466100006,-71.42494706999994,E911,,Larceny-theft
2023-00092078,200 Block WASHINGTON ST,2023-11-08T13:29:00.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2023-00092078-001,41.821179037000064,-71.41703513299996,E911,,
2023-00092072,PRUDENCE AVE &  SILVER LAKE AVE,2023-11-08T12:47:00.000,11,2023,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,NEastman,2023-00092072-001,41.80698013218797,-71.46130372059709,RIDOT,,
2023-00092033,100 Block PLEASANT ST,2023-11-08T09:55:00.000,11,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,MHames,2023-00092033-001,41.83965517300007,-71.40366584199995,E911,,Larceny-theft
2023-00092014,0 Block ORTOLEVA DR,2023-11-08T09:28:00.000,11,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00092014-001,41.82747561900007,-71.45750272049997,E911,,
2023-00091995,100 Block MERINO ST,2023-11-08T07:47:08.000,11,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,MSandorse,2023-00091995-001,41.81739131250004,-71.45884756849995,E911,,
2023-00091991,100 Block BROAD ST,2023-11-08T07:25:00.000,11,2023,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,2,LMarroquin,2023-00091991-001,41.81743972350006,-71.41676518499997,E911,,
