casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2025-00103173,DEAN ST / SPRUCE ST,2025-12-30T23:53:23.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,HViruet,2025-00103173-001,,Larceny-theft
2025-00103047,SHILOH ST,2025-12-30T12:27:10.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ACommendatore,2025-00103047-001,,
2025-00102891,100 Block RANDALL SQ,2025-12-29T18:12:00.000,12,2025,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,PHourahan,2025-00102891-001,Aggravated Assault,
2025-00102864,FENNER ST,2025-12-29T15:51:03.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2025-00102864-001,,Larceny-theft
2025-00102704,600 BlockN MAIN ST,2025-12-28T17:43:00.000,12,2025,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,PHourahan,2025-00102704-001,,
2025-00102653,1100 BlockN MAIN ST,2025-12-28T13:01:24.000,12,2025,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,JLugo,2025-00102653-001,,Larceny-theft
2025-00102654,NOT IDENTIFIED,2025-12-28T12:51:17.000,12,2025,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,ACommendatore,2025-00102654-001,,
2025-00102521,STEWART ST,2025-12-27T21:23:00.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2025-00102521-001,,
2025-00102439,SPICER ST,2025-12-27T14:41:23.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,CNicholls,2025-00102439-001,,
2025-00102395,BREWSTER ST,2025-12-27T09:44:00.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2025-00102395-001,,Larceny-theft
2025-00102309,ALVES ST,2025-12-26T22:37:07.000,12,2025,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,DMonteiro,2025-00102309-001,,
2025-00102309,ALVES ST,2025-12-26T22:37:07.000,12,2025,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,DMonteiro,2025-00102309-002,,
2025-00102271,600 BlockN MAIN ST,2025-12-26T19:31:19.000,12,2025,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,PHourahan,2025-00102271-001,,
2025-00101938,EBOW ST,2025-12-25T00:00:10.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,DWilson,2025-00101938-001,,Larceny-theft
2025-00101938,EBOW ST,2025-12-25T00:00:10.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DWilson,2025-00101938-002,,
2025-00502484,200 BlockS MAIN ST,2025-12-24T13:42:28.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502484-001,,
2025-00101594,OHIO AVENUE,2025-12-23T12:44:00.000,12,2025,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,Central Station,2025-00101594-001,,Motor Vehicle Theft
2025-00502440,WAVERLY ST,2025-12-22T10:48:06.000,12,2025,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ADecristofano,2025-00502440-001,,Larceny-theft
2025-00101132,FULTON ST/EDDY ST,2025-12-21T12:37:00.000,12,2025,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,Central Station,2025-00101132-001,,
2025-00101132,FULTON ST/EDDY ST,2025-12-21T12:37:00.000,12,2025,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,Central Station,2025-00101132-002,,
2025-00101131,MANTON AVE,2025-12-21T12:30:21.000,12,2025,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,JWagnac,2025-00101131-001,,Larceny-theft
2025-00502428,ELMWOOD AVE,2025-12-20T21:45:17.000,12,2025,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,ADecristofano,2025-00502428-001,,Larceny-theft
2025-00502431,7ELEVEN,2025-12-20T16:44:44.000,12,2025,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,ADecristofano,2025-00502431-001,,
2025-00100637,400 BlockW FOUNTAIN ST,2025-12-19T17:27:15.000,12,2025,Bad Checks,19-9-25,FRAUDULENT CHECKS-(OVER $1000),1,Central Station,2025-00100637-001,,
2025-00502443,SHIPYARD ST,2025-12-19T16:40:31.000,12,2025,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,ADecristofano,2025-00502443-001,,
2025-00100477,1200 BlockN MAIN ST,2025-12-19T03:56:08.000,12,2025,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,JBibeault,2025-00100477-001,,Larceny-theft
2025-00100290,WESTMINSTER ST,2025-12-18T11:26:00.000,12,2025,Request for Assistance,Not Used,No violations,0,Central Station,2025-00100290-001,,
2025-00100084,100 Block CALVERLEY ST,2025-12-17T15:01:00.000,12,2025,Lost Article,Not Used,No violations,0,Central Station,2025-00100084-001,,
