casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,latitude,longitude
2023-00097151,0 Block VANDEWATER ST,2023-11-27T01:35:00.000,11,2023,"Assault,Felony",Not Used,"Under Investigation, Offense Pending",0,LPrete,,
2023-00096978,0 Block VANDEWATER ST,2023-11-26T03:27:00.000,11,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MCarlone,,
2023-00096870,0 Block CRANDALL ST,2023-11-25T19:42:00.000,11,2023,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,RAbenante,,
2023-00096870,0 Block CRANDALL ST,2023-11-25T19:42:00.000,11,2023,Traffic Violation,31-14-1,Failure to Maintain Control,1,RAbenante,,
2023-00096870,0 Block CRANDALL ST,2023-11-25T19:42:00.000,11,2023,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,RAbenante,,
2023-00096870,0 Block CRANDALL ST,2023-11-25T19:42:00.000,11,2023,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,RAbenante,,
2023-00502634,0 Block MALBONE,2023-11-25T08:39:08.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00096498,600 Block PLEASANT VALLEY PKY,2023-11-24T11:35:00.000,11,2023,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,GScarcello,,
2023-00502623,0 Block WHITEHALL,2023-11-23T21:57:24.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00502619,0 Block RUTLAND ST,2023-11-23T07:47:36.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00502607,0 Block WILLOW,2023-11-21T17:21:15.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,,
2023-00095783,400 Block BROADWAY,2023-11-21T14:06:00.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DLiu,,
