casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2023-00103490,W ECHANGE ST,2023-12-19T23:52:00.000,12,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00103490-001,None,None
2023-00103455,GLOBE ST &  ALLENS AVE,2023-12-19T20:30:00.000,12,2023,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,DForte,2023-00103455-001,None,None
2023-00103438,0 Block DORRANCE,2023-12-19T19:09:26.000,12,2023,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,JAntoniou,2023-00103438-001,None,None
2023-00103377,0 Block KENNEDY,2023-12-19T15:23:33.000,12,2023,Disturbance,Not Used,No Violations,0,GGenao,2023-00103377-001,None,None
2023-00103287,0 Block BENEDICT RD.,2023-12-19T08:35:00.000,12,2023,Drug Offenses,21-28-4.01.1-A2,MANUFAC/POSS/DELIVER COCAINE-1OZ-1KG,1,MMcGloin,2023-00103287-001,None,None
2023-00103287,0 Block BENEDICT RD.,2023-12-19T08:35:00.000,12,2023,Drug Offenses,21-28-4.01-A2A,MANUFAC/POSS/DELIVER SCH 1/II,1,MMcGloin,2023-00103287-002,None,None
2023-00103287,0 Block BENEDICT RD.,2023-12-19T08:35:00.000,12,2023,Drug Offenses,21-28-4.06-1A,MAINTAIN COMMON NUSIANCE/CONTROL SUBSTANCES,1,MMcGloin,2023-00103287-003,None,None
2023-00103281,0 Block LEO ST,2023-12-19T07:33:07.000,12,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,JBenros,2023-00103281-001,None,Motor Vehicle Theft
2023-00103167,RICHMOND ST,2023-12-18T17:26:00.000,12,2023,RI Statute Violation,36-M,DAMAGED VEHICLE,1,Central Station,2023-00103167-001,None,None
2023-00103149,MEMORIAL BLVD,2023-12-18T16:10:00.000,12,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00103149-001,None,None
2023-00103101,JOHN PARTINGTON WAY &  CARPENTER ST,2023-12-18T12:49:00.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,DSepe,2023-00103101-001,None,None
